size_sqft,bedrooms,bathrooms,location,property_age,has_parking,distance_to_metro_km,price
1360,3,4,Bangalore,6,1,1.73,84.3
2185,5,2,Delhi,5,1,1.98,149.47
2824,1,4,Delhi,11,0,3.05,157.3
1475,3,4,Mumbai,19,1,4.77,109.54
1146,5,1,Mumbai,17,1,9.43,73.17
1863,4,3,Mumbai,11,0,8.37,139.27
534,1,4,Delhi,7,1,3.25,45.56
2000,2,2,Delhi,9,1,9.28,118.55
1315,4,1,Delhi,7,0,4.01,85.25
2764,4,4,Bangalore,8,0,8.06,131.42
564,1,3,Bangalore,0,1,3.08,36.23
878,5,2,Mumbai,8,1,8.66,72.25
2363,4,2,Bangalore,15,0,3.25,123.67
2395,3,3,Bangalore,2,0,9.72,108.68
1528,2,3,Mumbai,13,0,0.6,110.13
1984,3,3,Mumbai,16,1,5.72,147.88
2423,5,3,Mumbai,12,0,7.6,175.28
2097,1,1,Delhi,11,1,4.28,119.39
2481,3,4,Delhi,6,1,1.28,155.98
1472,1,3,Mumbai,5,1,5.43,100.44
817,5,1,Mumbai,9,1,2.59,70.47
1995,1,4,Bangalore,16,1,9.63,82.46
2136,1,4,Bangalore,16,1,5.13,98.14
1653,5,4,Delhi,5,1,6.01,109.17
702,3,1,Mumbai,5,1,4.81,56.71
2691,1,1,Mumbai,5,1,0.6,207.51
1159,4,3,Mumbai,2,0,2.42,88.98
2459,2,4,Bangalore,10,1,7.41,120.2
2469,2,3,Mumbai,15,1,9.83,165.38
1827,4,1,Bangalore,8,0,3.62,94.51
2755,3,4,Delhi,0,1,8.54,170.76
1996,3,1,Bangalore,17,1,3.19,109.46
1456,1,4,Bangalore,3,0,5.04,64.43
1915,3,1,Bangalore,15,1,5.19,88.9
969,5,3,Delhi,7,0,4.46,69.45
1459,1,1,Bangalore,15,0,5.81,53.02
1715,1,4,Bangalore,11,1,4.81,84.07
2268,5,4,Bangalore,16,1,9.67,109.15
1199,1,4,Mumbai,0,1,4.96,83.78
1069,3,4,Delhi,17,1,6.78,51.36
2186,2,3,Mumbai,9,1,3.36,167.66
2205,2,3,Delhi,12,1,5.21,138.38
535,5,4,Bangalore,7,1,4.09,37.46
2323,3,1,Delhi,16,1,0.58,142.46
1577,3,4,Bangalore,0,1,7.75,83.97
1719,5,4,Delhi,14,0,6.45,95.11
768,2,4,Delhi,18,0,4.11,44.88
1869,5,2,Bangalore,8,1,4.21,100.97
1581,2,1,Mumbai,1,1,5.58,125.43
1396,5,3,Mumbai,4,1,7.35,118.01
653,3,1,Delhi,13,1,0.65,44.52
2765,2,4,Bangalore,6,1,1.9,152.76
2257,5,3,Delhi,9,1,6.42,140.65
2989,1,4,Bangalore,12,1,6.24,139.76
835,2,1,Mumbai,19,1,6.84,48.69
1456,3,3,Bangalore,11,0,8.24,64.96
1691,2,3,Bangalore,12,1,1.19,85.33
1275,5,2,Delhi,1,0,2.96,87.6
1325,5,2,Bangalore,10,0,0.58,77.62
1175,2,1,Bangalore,2,0,7.37,52.3
2071,2,1,Mumbai,4,1,4.4,161.85
1372,1,1,Delhi,19,1,4.02,78.86
896,3,3,Bangalore,3,1,9.59,40.86
2319,4,3,Delhi,14,1,4.59,147.18
895,1,4,Mumbai,3,0,7.96,53.19
1133,5,3,Mumbai,10,0,1.35,92.91
1453,4,1,Bangalore,5,0,4.38,73.05
1717,5,1,Bangalore,5,0,5.9,82.72
1888,1,2,Bangalore,6,0,6.0,92.03
2310,5,4,Delhi,6,0,2.64,141.87
538,3,1,Bangalore,17,1,5.8,27.96
1394,1,3,Bangalore,2,0,2.53,71.75
1004,4,1,Bangalore,0,1,4.48,51.0
579,5,3,Bangalore,3,0,7.02,34.92
2594,1,1,Delhi,14,0,9.96,132.21
970,1,3,Delhi,15,1,4.07,60.22
1167,5,4,Delhi,3,1,4.01,78.72
1368,1,4,Mumbai,16,0,3.23,88.38
1424,5,2,Mumbai,5,1,4.28,121.78
509,2,3,Bangalore,4,0,4.23,23.86
873,1,2,Mumbai,16,0,6.02,53.15
1188,5,1,Delhi,8,0,1.51,79.58
904,4,1,Bangalore,4,1,9.15,54.46
1213,2,3,Bangalore,13,0,1.47,60.95
550,5,1,Delhi,0,0,7.62,36.56
